country	year	pop
Czech Republic	1998	10290949
Czech Republic	1999	10280436
Czech Republic	2000	10270128
Czech Republic	2001	10262308
Czech Republic	2002	10256295
Czech Republic	2003	10251087
Czech Republic	2004	10246178
Czech Republic	2005	10241138
Czech Republic	2006	10235455
Czech Republic	2007	10228744
Czech Republic	2008	10220911
Czechoslovakia	1950	12388568
Czechoslovakia	1951	12531868
Czechoslovakia	1952	12683320
Czechoslovakia	1953	12819669
Czechoslovakia	1954	12952054
Czechoslovakia	1955	13092570
Czechoslovakia	1956	13229151
Czechoslovakia	1957	13358035
Czechoslovakia	1958	13474401
Czechoslovakia	1959	13564593
Czechoslovakia	1960	13654088
Czechoslovakia	1961	13778892
Czechoslovakia	1962	13857666
Czechoslovakia	1963	13948326
Czechoslovakia	1964	14052204
Czechoslovakia	1965	14146861
Czechoslovakia	1966	14224347
Czechoslovakia	1967	14277347
Czechoslovakia	1968	14322641
Czechoslovakia	1969	14284202
Czechoslovakia	1970	14319099
Czechoslovakia	1971	14381376
Czechoslovakia	1972	14455591
Czechoslovakia	1973	14549273
Czechoslovakia	1974	14657870
Czechoslovakia	1975	14771737
Czechoslovakia	1976	14883683
Czechoslovakia	1977	14989718
Czechoslovakia	1978	15088911
Czechoslovakia	1979	15182228
Czechoslovakia	1980	15254684
Czechoslovakia	1981	15311596
Czechoslovakia	1982	15351747
Czechoslovakia	1983	15388264
Czechoslovakia	1984	15423304
Czechoslovakia	1985	15454794
Czechoslovakia	1986	15480920
Czechoslovakia	1987	15510915
Czechoslovakia	1988	15537004
Czechoslovakia	1989	15559005
Czechoslovakia	1990	15572130
Czechoslovakia	1991	15586768
Czechoslovakia	1992	15618590
Czechoslovakia	1993	15650011
Czechoslovakia	1994	15675429
Czechoslovakia	1995	15685424
Czechoslovakia	1996	15685007
Czechoslovakia	1997	15683717
Czechoslovakia	1998	15681185
Czechoslovakia	1999	15676175
Czechoslovakia	2000	15670448
Czechoslovakia	2001	15666989
Czechoslovakia	2002	15666347
Czechoslovakia	2003	15667493
Czechoslovakia	2004	15669745
Czechoslovakia	2005	15672501
Czechoslovakia	2006	15674903
Czechoslovakia	2007	15676246
Czechoslovakia	2008	15676318
Denmark	1950	4271000
Denmark	1951	4303620
Denmark	1952	4334000
Denmark	1953	4369280
Denmark	1954	4406000
Denmark	1955	4439000
Denmark	1956	4466471
Denmark	1957	4487831
Denmark	1958	4515132
Denmark	1959	4546636
Denmark	1960	4581000
Denmark	1961	4609817
Denmark	1962	4646899
Denmark	1963	4683579
Denmark	1964	4720171
Denmark	1965	4758100
Denmark	1966	4797500
Denmark	1967	4838800
Denmark	1968	4867300
Denmark	1969	4890687
Denmark	1970	4928757
Denmark	1971	4963126
Denmark	1972	4991596
Denmark	1973	5021861
Denmark	1974	5045297
Denmark	1975	5059861
Denmark	1976	5072596
Denmark	1977	5088419
Denmark	1978	5104247
Denmark	1979	5116800
Denmark	1980	5123027
Denmark	1981	5121572
Denmark	1982	5117810
Denmark	1983	5114297
Denmark	1984	5111619
Denmark	1985	5113691
Denmark	1986	5120534
Denmark	1987	5127024
Denmark	1988	5129516
Denmark	1989	5132593
Denmark	1990	5140954
Denmark	1991	5154352
Denmark	1992	5171393
Denmark	1993	5188386
Denmark	1994	5205603
Denmark	1995	5232612
Denmark	1996	5262075
Denmark	1997	5283663
Denmark	1998	5302767
Denmark	1999	5320134
Denmark	2000	5337416
Denmark	2001	5355826
Denmark	2002	5374693
Denmark	2003	5394138
Denmark	2004	5413392
Denmark	2005	5432335
Denmark	2006	5450661
Denmark	2007	5468120
Denmark	2008	5484723
Djibouti	1950	60036
Djibouti	1951	61572
Djibouti	1952	63149
Djibouti	1953	64768
Djibouti	1954	66431
Djibouti	1955	68137
Djibouti	1956	69892
Djibouti	1957	71851
Djibouti	1958	73986
Djibouti	1959	76174
Djibouti	1960	78417
Djibouti	1961	83913
Djibouti	1962	89898
Djibouti	1963	96376
Djibouti	1964	103354
Djibouti	1965	110840
Djibouti	1966	118886
Djibouti	1967	127617
Djibouti	1968	137047
Djibouti	1969	147181
Djibouti	1970	158034
Djibouti	1971	168600
Djibouti	1972	178848
Djibouti	1973	188750
Djibouti	1974	198279
Djibouti	1975	207959
Djibouti	1976	217219
Djibouti	1977	228694
Djibouti	1978	247883
Djibouti	1979	263409
Djibouti	1980	279149
Djibouti	1981	293659
Djibouti	1982	305991
Djibouti	1983	316123
Djibouti	1984	289431
Djibouti	1985	296544
Djibouti	1986	303756
Djibouti	1987	311025
Djibouti	1988	326580
Djibouti	1989	349928
Djibouti	1990	366088
Djibouti	1991	375227
Djibouti	1992	384156
Djibouti	1993	393258
Djibouti	1994	402548
Djibouti	1995	409366
Djibouti	1996	413627
Djibouti	1997	417908
Djibouti	1998	422202
Djibouti	1999	426507
Djibouti	2000	430822
Djibouti	2001	437778
Djibouti	2002	447416
Djibouti	2003	457130
Djibouti	2004	466900
Djibouti	2005	476703
Djibouti	2006	486530
Djibouti	2007	496374
Djibouti	2008	506221
Dominica	1950	51423
Dominica	1951	52352
Dominica	1952	53283
Dominica	1953	54262
Dominica	1954	55476
Dominica	1955	56771
Dominica	1956	57863
Dominica	1957	58748
Dominica	1958	59464
Dominica	1959	59850
Dominica	1960	60256
Dominica	1961	60924
Dominica	1962	61697
Dominica	1963	62418
Dominica	1964	63274
Dominica	1965	64457
Dominica	1966	65676
Dominica	1967	67027
Dominica	1968	68412
Dominica	1969	69604
Dominica	1970	70764
Dominica	1971	71865
Dominica	1972	72969
Dominica	1973	73967
Dominica	1974	74718
Dominica	1975	75221
Dominica	1976	75559
Dominica	1977	75733
Dominica	1978	75830
Dominica	1979	75752
Dominica	1980	75446
Dominica	1981	75123
Dominica	1982	74826
Dominica	1983	74763
Dominica	1984	74850
Dominica	1985	74852
Dominica	1986	74672
Dominica	1987	74246
Dominica	1988	73740
Dominica	1989	73274
Dominica	1990	72714
Dominica	1991	72038
Dominica	1992	71775
Dominica	1993	72110
Dominica	1994	72554
Dominica	1995	72947
Dominica	1996	73094
Dominica	1997	73010
Dominica	1998	72731
Dominica	1999	72244
Dominica	2000	71540
Dominica	2001	70786
Dominica	2002	70158
Dominica	2003	69655
Dominica	2004	69278
Dominica	2005	69029
Dominica	2006	68910
Dominica	2007	68925
Dominica	2008	69080
Dominican Republic	1950	2352968
Dominican Republic	1951	2419125
Dominican Republic	1952	2491346
Dominican Republic	1953	2568919
Dominican Republic	1954	2651127
Dominican Republic	1955	2737257
Dominican Republic	1956	2827784
Dominican Republic	1957	2923186
Dominican Republic	1958	3022747
Dominican Republic	1959	3125752
Dominican Republic	1960	3231488
Dominican Republic	1961	3340557
Dominican Republic	1962	3453434
Dominican Republic	1963	3569217
Dominican Republic	1964	3687001
Dominican Republic	1965	3805881
Dominican Republic	1966	3926395
Dominican Republic	1967	4049146
Dominican Republic	1968	4173328
Dominican Republic	1969	4298133
Dominican Republic	1970	4422755
Dominican Republic	1971	4546974
Dominican Republic	1972	4671329
Dominican Republic	1973	4796148
Dominican Republic	1974	4921761
Dominican Republic	1975	5048499
Dominican Republic	1976	5175585
Dominican Republic	1977	5302800
Dominican Republic	1978	5431308
Dominican Republic	1979	5562270
Dominican Republic	1980	5696855
Dominican Republic	1981	5831508
Dominican Republic	1982	5968349
Dominican Republic	1983	6105286
Dominican Republic	1984	6240883
Dominican Republic	1985	6377765
Dominican Republic	1986	6515757
Dominican Republic	1987	6655297
Dominican Republic	1988	6796121
Dominican Republic	1989	6937802
Dominican Republic	1990	7077651
Dominican Republic	1991	7216352
Dominican Republic	1992	7351181
Dominican Republic	1993	7478116
Dominican Republic	1994	7602302
Dominican Republic	1995	7730224
Dominican Republic	1996	7861694
Dominican Republic	1997	7992357
Dominican Republic	1998	8123244
Dominican Republic	1999	8254350
Dominican Republic	2000	8385828
Dominican Republic	2001	8517874
Dominican Republic	2002	8650322
Dominican Republic	2003	8783013
Dominican Republic	2004	8916069
Dominican Republic	2005	9049595
Dominican Republic	2006	9183984
Dominican Republic	2007	9319622
Dominican Republic	2008	9456632
East Germany	1950	18388000
East Germany	1973	16890000
East Germany	1990	16111000
East Germany	1991	15910000
East Germany	2008	16384470
Ecuador	1950	3369955
Ecuador	1951	3458093
Ecuador	1952	3548753
Ecuador	1953	3642591
Ecuador	1954	3740256
Ecuador	1955	3842399
Ecuador	1956	3948587
Ecuador	1957	4058385
Ecuador	1958	4172445
Ecuador	1959	4291418
Ecuador	1960	4415956
Ecuador	1961	4546197
Ecuador	1962	4681707
Ecuador	1963	4822279
Ecuador	1964	4967705
Ecuador	1965	5117779
Ecuador	1966	5272639
Ecuador	1967	5432424
Ecuador	1968	5596925
Ecuador	1969	5765935
Ecuador	1970	5939246
Ecuador	1971	6116773
Ecuador	1972	6298651
Ecuador	1973	6485013
Ecuador	1974	6675986
Ecuador	1975	6871698
Ecuador	1976	7072687
Ecuador	1977	7278866
Ecuador	1978	7489432
Ecuador	1979	7703577
Ecuador	1980	7920499
Ecuador	1981	8141078
Ecuador	1982	8365850
Ecuador	1983	8593494
Ecuador	1984	8825829
Ecuador	1985	9061664
Ecuador	1986	9301083
Ecuador	1987	9545158
Ecuador	1988	9794122
Ecuador	1989	10048223
Ecuador	1990	10318036
Ecuador	1991	10526095
Ecuador	1992	10748394
Ecuador	1993	10979476
Ecuador	1994	11208048
Ecuador	1995	11438004
Ecuador	1996	11673950
Ecuador	1997	11911819
Ecuador	1998	12139965
Ecuador	1999	12347543
Ecuador	2000	12505204
Ecuador	2001	12701839
Ecuador	2002	12921234
Ecuador	2003	13074082
Ecuador	2004	13212742
Ecuador	2005	13363593
Ecuador	2006	13547510
Ecuador	2007	13755680
Ecuador	2008	13927650
Egypt, Arab Rep.	1950	21197691
Egypt, Arab Rep.	1951	21704443
Egypt, Arab Rep.	1952	22223309
Egypt, Arab Rep.	1953	22754580
Egypt, Arab Rep.	1954	23298551
Egypt, Arab Rep.	1955	23855527
Egypt, Arab Rep.	1956	24425817
Egypt, Arab Rep.	1957	25009741
Egypt, Arab Rep.	1958	25607624
Egypt, Arab Rep.	1959	26219800
Egypt, Arab Rep.	1960	26846610
Egypt, Arab Rep.	1961	27522861
Egypt, Arab Rep.	1962	28173309
Egypt, Arab Rep.	1963	28820665
Egypt, Arab Rep.	1964	29533070
Egypt, Arab Rep.	1965	30265148
Egypt, Arab Rep.	1966	30986381
Egypt, Arab Rep.	1967	31681188
Egypt, Arab Rep.	1968	32337877
Egypt, Arab Rep.	1969	32966239
Egypt, Arab Rep.	1970	33574026
Egypt, Arab Rep.	1971	34183988
Egypt, Arab Rep.	1972	34807417
Egypt, Arab Rep.	1973	35480414
Egypt, Arab Rep.	1974	36216313
Egypt, Arab Rep.	1975	36952499
Egypt, Arab Rep.	1976	37736990
Egypt, Arab Rep.	1977	38783863
Egypt, Arab Rep.	1978	40020461
Egypt, Arab Rep.	1979	41257718
Egypt, Arab Rep.	1980	42634215
Egypt, Arab Rep.	1981	44196104
Egypt, Arab Rep.	1982	45681811
Egypt, Arab Rep.	1983	47093025
Egypt, Arab Rep.	1984	48550155
Egypt, Arab Rep.	1985	50052381
Egypt, Arab Rep.	1986	51593433
Egypt, Arab Rep.	1987	52799062
Egypt, Arab Rep.	1988	54024248
Egypt, Arab Rep.	1989	55262806
Egypt, Arab Rep.	1990	56694413
Egypt, Arab Rep.	1991	58139197
Egypt, Arab Rep.	1992	59402198
Egypt, Arab Rep.	1993	60676980
Egypt, Arab Rep.	1994	61982513
Egypt, Arab Rep.	1995	63321615
Egypt, Arab Rep.	1996	64705041
Egypt, Arab Rep.	1997	66134291
Egypt, Arab Rep.	1998	67602461
Egypt, Arab Rep.	1999	69066721
Egypt, Arab Rep.	2000	70492342
Egypt, Arab Rep.	2001	71901545
Egypt, Arab Rep.	2002	73312559
Egypt, Arab Rep.	2003	74718797
Egypt, Arab Rep.	2004	76117421
Egypt, Arab Rep.	2005	77505756
Egypt, Arab Rep.	2006	78887007
Egypt, Arab Rep.	2007	80264543
Egypt, Arab Rep.	2008	81635832
El Salvador	1950	1939800
El Salvador	1951	1989756
El Salvador	1952	2042865
El Salvador	1953	2099130
El Salvador	1954	2158554
El Salvador	1955	2221139
El Salvador	1956	2286889
El Salvador	1957	2355805
El Salvador	1958	2427891
El Salvador	1959	2503149
El Salvador	1960	2581583
El Salvador	1961	2664838
El Salvador	1962	2747687
El Salvador	1963	2836090
El Salvador	1964	2923870
El Salvador	1965	3017852
El Salvador	1966	3128206
El Salvador	1967	3232927
El Salvador	1968	3347320
El Salvador	1969	3469177
El Salvador	1970	3603907
El Salvador	1971	3710335
El Salvador	1972	3790903
El Salvador	1973	3878197
El Salvador	1974	3971783
El Salvador	1975	4071179
El Salvador	1976	4174737
El Salvador	1977	4282586
El Salvador	1978	4396275
El Salvador	1979	4508055
El Salvador	1980	4566199
El Salvador	1981	4515094
El Salvador	1982	4474873
El Salvador	1983	4521153
El Salvador	1984	4587633
El Salvador	1985	4664361
El Salvador	1986	4751017
El Salvador	1987	4842194
El Salvador	1988	4930397
El Salvador	1989	5015522
El Salvador	1990	5099884
El Salvador	1991	5185604
El Salvador	1992	5274649
El Salvador	1993	5369502
El Salvador	1994	5466906
El Salvador	1995	5568437
El Salvador	1996	5674036
El Salvador	1997	5783439
El Salvador	1998	5895283
El Salvador	1999	6008356
El Salvador	2000	6122515
El Salvador	2001	6237662
El Salvador	2002	6353681
El Salvador	2003	6470379
El Salvador	2004	6587541
El Salvador	2005	6704932
El Salvador	2006	6822378
El Salvador	2007	6939688
El Salvador	2008	7057131
Equatorial Guinea	1950	211204
Equatorial Guinea	1951	214064
Equatorial Guinea	1952	216964
Equatorial Guinea	1953	219902
Equatorial Guinea	1954	222880
Equatorial Guinea	1955	225899
Equatorial Guinea	1956	229383
Equatorial Guinea	1957	232922
Equatorial Guinea	1958	236514
Equatorial Guinea	1959	240163
Equatorial Guinea	1960	243867
Equatorial Guinea	1961	248028
Equatorial Guinea	1962	249220
Equatorial Guinea	1963	250419
Equatorial Guinea	1964	251623
Equatorial Guinea	1965	252833
Equatorial Guinea	1966	256349
Equatorial Guinea	1967	259864
Equatorial Guinea	1968	263377
Equatorial Guinea	1969	266898
Equatorial Guinea	1970	270435
Equatorial Guinea	1971	273999
Equatorial Guinea	1972	277603
Equatorial Guinea	1973	271301
Equatorial Guinea	1974	249952
Equatorial Guinea	1975	213292
Equatorial Guinea	1976	190808
Equatorial Guinea	1977	192675
Equatorial Guinea	1978	194597
Equatorial Guinea	1979	221299
Equatorial Guinea	1980	256009
Equatorial Guinea	1981	271778
Equatorial Guinea	1982	285483
Equatorial Guinea	1983	299577
Equatorial Guinea	1984	314447
Equatorial Guinea	1985	324741
Equatorial Guinea	1986	332827
Equatorial Guinea	1987	341244
Equatorial Guinea	1988	349968
Equatorial Guinea	1989	359008
Equatorial Guinea	1990	368379
Equatorial Guinea	1991	378008
Equatorial Guinea	1992	387838
Equatorial Guinea	1993	397863
Equatorial Guinea	1994	408095
Equatorial Guinea	1995	418534
Equatorial Guinea	1996	429158
Equatorial Guinea	1997	439971
Equatorial Guinea	1998	450938
Equatorial Guinea	1999	462037
Equatorial Guinea	2000	473216
Equatorial Guinea	2001	484425
Equatorial Guinea	2002	495627
Equatorial Guinea	2003	506800
Equatorial Guinea	2004	517927
Equatorial Guinea	2005	529034
Equatorial Guinea	2006	540109
Equatorial Guinea	2007	551201
Equatorial Guinea	2008	562339
Eritrea	1950	1402510
Eritrea	1951	1420279
Eritrea	1952	1438760
Eritrea	1953	1457971
Eritrea	1954	1477939
Eritrea	1955	1498684
Eritrea	1956	1520231
Eritrea	1957	1542611
Eritrea	1958	1565847
Eritrea	1959	1589868
Eritrea	1960	1614698
Eritrea	1961	1640231
Eritrea	1962	1666618
Eritrea	1963	1693045
Eritrea	1964	1718392
Eritrea	1965	1746439
Eritrea	1966	1773393
Eritrea	1967	1820319
Eritrea	1968	1857075
Eritrea	1969	2007110
Eritrea	1970	2160460
Eritrea	1971	2208336
Eritrea	1972	2260187
Eritrea	1973	2340837
Eritrea	1974	2380509
Eritrea	1975	2421037
Eritrea	1976	2469199
Eritrea	1977	2512642
Eritrea	1978	2537978
Eritrea	1979	2556806
Eritrea	1980	2568741
Eritrea	1981	2592782
Eritrea	1982	2637297
Eritrea	1983	2693884
Eritrea	1984	2759280
Eritrea	1985	2789056
Eritrea	1986	2837875
Eritrea	1987	2915959
Eritrea	1988	2978325
Eritrea	1989	2989759
Eritrea	1990	2996243
Eritrea	1991	3310098
Eritrea	1992	3668440
Eritrea	1993	3743948
Eritrea	1994	3815601
Eritrea	1995	3858978
Eritrea	1996	3926212
Eritrea	1997	4058319
Eritrea	1998	4183431
Eritrea	1999	4317425
Eritrea	2000	4356581
Eritrea	2001	4360461
Eritrea	2002	4414865
Eritrea	2003	4470145
Eritrea	2004	4554408
Eritrea	2005	4669638
Eritrea	2006	4786994
Eritrea	2007	4906585
Eritrea	2008	5028475
Eritrea and Ethiopia	1950	21577072
Eritrea and Ethiopia	1951	21931687
Eritrea and Ethiopia	1952	22299701
Eritrea and Ethiopia	1953	22681589
Eritrea and Ethiopia	1954	23077851
Eritrea and Ethiopia	1955	23489007
Eritrea and Ethiopia	1956	23915607
Eritrea and Ethiopia	1957	24358225
Eritrea and Ethiopia	1958	24817457
Eritrea and Ethiopia	1959	25292318
Eritrea and Ethiopia	1960	25783370
Eritrea and Ethiopia	1961	26289080
Eritrea and Ethiopia	1962	26811990
Eritrea and Ethiopia	1963	27352724
Eritrea and Ethiopia	1964	27910749
Eritrea and Ethiopia	1965	28486709
Eritrea and Ethiopia	1966	29081191
Eritrea and Ethiopia	1967	29680616
Eritrea and Ethiopia	1968	30308330
Eritrea and Ethiopia	1969	30969390
Eritrea and Ethiopia	1970	31628964
Eritrea and Ethiopia	1971	32307998
Eritrea and Ethiopia	1972	33030559
Eritrea and Ethiopia	1973	33786014
Eritrea and Ethiopia	1974	34579876
Eritrea and Ethiopia	1975	35396905
Eritrea and Ethiopia	1976	36294034
Eritrea and Ethiopia	1977	37130441
Eritrea and Ethiopia	1978	37754295
Eritrea and Ethiopia	1979	38221073
Eritrea and Ethiopia	1980	38605198
Eritrea and Ethiopia	1981	39649026
Eritrea and Ethiopia	1982	40749053
Eritrea and Ethiopia	1983	41898385
Eritrea and Ethiopia	1984	42831710
Eritrea and Ethiopia	1985	43487134
Eritrea and Ethiopia	1986	44500074
Eritrea and Ethiopia	1987	45915489
Eritrea and Ethiopia	1988	47584614
Eritrea and Ethiopia	1989	49386315
Eritrea and Ethiopia	1990	51193511
Eritrea and Ethiopia	1991	53584960
Eritrea and Ethiopia	1992	55756999
Eritrea and Ethiopia	1993	57190199
Eritrea and Ethiopia	1994	58770464
Eritrea and Ethiopia	1995	60487061
Eritrea and Ethiopia	1996	62209971
Eritrea and Ethiopia	1997	63919620
Eritrea and Ethiopia	1998	65620416
Eritrea and Ethiopia	1999	67372393
Eritrea and Ethiopia	2000	69046633
Eritrea and Ethiopia	2001	70669297
Eritrea and Ethiopia	2002	72361662
Eritrea and Ethiopia	2003	74098224
Eritrea and Ethiopia	2004	75890979
Eritrea and Ethiopia	2005	77722924
Eritrea and Ethiopia	2006	79564975
Eritrea and Ethiopia	2007	81418472
Eritrea and Ethiopia	2008	83282565
Estonia	1950	1095610
Estonia	1951	1111966
Estonia	1952	1130445
Estonia	1953	1140395
Estonia	1954	1148378
Estonia	1955	1154371
Estonia	1956	1162801
Estonia	1957	1174251
Estonia	1958	1185336
Estonia	1959	1197418
Estonia	1960	1210647
Estonia	1961	1224467
Estonia	1962	1238786
Estonia	1963	1254604
Estonia	1964	1272439
Estonia	1965	1287808
Estonia	1966	1300177
Estonia	1967	1311560
Estonia	1968	1324437
Estonia	1969	1342891
Estonia	1970	1363183
Estonia	1971	1381459
Estonia	1972	1397391
Estonia	1973	1410836
Estonia	1974	1422291
Estonia	1975	1432246
Estonia	1976	1442204
Estonia	1977	1453168
Estonia	1978	1463533
Estonia	1979	1472244
Estonia	1980	1482196
Estonia	1981	1493318
Estonia	1982	1504043
Estonia	1983	1514671
Estonia	1984	1526128
Estonia	1985	1538224
Estonia	1986	1550072
Estonia	1987	1562224
Estonia	1988	1569187
Estonia	1989	1570926
Estonia	1990	1569322
Estonia	1991	1559547
Estonia	1992	1528715
Estonia	1993	1491426
Estonia	1994	1467535
Estonia	1995	1446509
Estonia	1996	1427827
Estonia	1997	1413351
Estonia	1998	1400972
Estonia	1999	1389756
Estonia	2000	1379835
Estonia	2001	1369983
Estonia	2002	1360122
Estonia	2003	1350722
Estonia	2004	1341664
Estonia	2005	1332893
Estonia	2006	1324333
Estonia	2007	1315912
Estonia	2008	1307605
Ethiopia	1950	20174562
Ethiopia	1951	20511408
Ethiopia	1952	20860941
Ethiopia	1953	21223618
Ethiopia	1954	21599912
Ethiopia	1955	21990323
Ethiopia	1956	22395376
Ethiopia	1957	22815614
Ethiopia	1958	23251610
Ethiopia	1959	23702450
Ethiopia	1960	24168672
Ethiopia	1961	24648849
Ethiopia	1962	25145372
Ethiopia	1963	25659679
Ethiopia	1964	26192357
Ethiopia	1965	26740270
Ethiopia	1966	27307798
Ethiopia	1967	27860297
Ethiopia	1968	28451255
Ethiopia	1969	28962280
Ethiopia	1970	29468504
Ethiopia	1971	30099662
Ethiopia	1972	30770372
Ethiopia	1973	31445177
Ethiopia	1974	32199367
Ethiopia	1975	32975868
Ethiopia	1976	33824835
Ethiopia	1977	34617799
Ethiopia	1978	35216317
Ethiopia	1979	35664267
Ethiopia	1980	36036457
Ethiopia	1981	37056244
Ethiopia	1982	38111756
Ethiopia	1983	39204501
Ethiopia	1984	40072430
Ethiopia	1985	40698078
Ethiopia	1986	41662199
Ethiopia	1987	42999530
Ethiopia	1988	44606289
Ethiopia	1989	46396556
Ethiopia	1990	48197268
Ethiopia	1991	50274862
Ethiopia	1992	52088559
Ethiopia	1993	53446251
Ethiopia	1994	54954863
Ethiopia	1995	56628083
Ethiopia	1996	58283759
Ethiopia	1997	59861301
Ethiopia	1998	61436985
Ethiopia	1999	63054968
Ethiopia	2000	64690052
Ethiopia	2001	66308836
Ethiopia	2002	67946797
Ethiopia	2003	69628079
Ethiopia	2004	71336571
Ethiopia	2005	73053286
Ethiopia	2006	74777981
Ethiopia	2007	76511887
Ethiopia	2008	78254090
Faeroe Islands	1950	31500
Faeroe Islands	1951	32100
Faeroe Islands	1952	32500
Faeroe Islands	1953	32600
Faeroe Islands	1954	32700
Faeroe Islands	1955	32600
Faeroe Islands	1956	32700
Faeroe Islands	1957	33100
Faeroe Islands	1958	33800
Faeroe Islands	1959	34500
Faeroe Islands	1960	34700
Faeroe Islands	1961	35000
Faeroe Islands	1962	35500
Faeroe Islands	1963	35900
Faeroe Islands	1964	35400
Faeroe Islands	1965	37000
Faeroe Islands	1966	37300
Faeroe Islands	1967	37500
Faeroe Islands	1968	38000
Faeroe Islands	1969	38400
Faeroe Islands	1970	38600
Faeroe Islands	1971	38682
Faeroe Islands	1972	38946
Faeroe Islands	1973	39481
Faeroe Islands	1974	40120
Faeroe Islands	1975	40826
Faeroe Islands	1976	41393
Faeroe Islands	1977	41860
Faeroe Islands	1978	42481
Faeroe Islands	1979	43045
Faeroe Islands	1980	43453
Faeroe Islands	1981	43858
Faeroe Islands	1982	44246
Faeroe Islands	1983	44571
Faeroe Islands	1984	45063
Faeroe Islands	1985	45574
Faeroe Islands	1986	46054
Faeroe Islands	1987	46683
Faeroe Islands	1988	47090
Faeroe Islands	1989	47279
Faeroe Islands	1990	47439
Faeroe Islands	1991	47571
Faeroe Islands	1992	47780
Faeroe Islands	1993	46085
Faeroe Islands	1994	44514
Faeroe Islands	1995	43523
Faeroe Islands	1996	43564
Faeroe Islands	1997	44040
Faeroe Islands	1998	44510
Faeroe Islands	1999	44913
Faeroe Islands	2000	45296
Faeroe Islands	2001	45661
Faeroe Islands	2002	46011
Faeroe Islands	2003	46345
Faeroe Islands	2004	46662
Faeroe Islands	2005	46962
Faeroe Islands	2006	47246
Faeroe Islands	2007	47511
Faeroe Islands	2008	47770
Falkland Is (Malvinas)	1950	2261
Falkland Is (Malvinas)	1955	2202
Falkland Is (Malvinas)	1960	2145
Falkland Is (Malvinas)	1965	2073
Falkland Is (Malvinas)	1970	1994
Falkland Is (Malvinas)	1975	1919
Falkland Is (Malvinas)	1980	1858
Falkland Is (Malvinas)	1985	1863
Falkland Is (Malvinas)	1990	2003
Falkland Is (Malvinas)	1995	2452
Falkland Is (Malvinas)	2000	2898
Falkland Is (Malvinas)	2005	2975
Fiji	1950	287348
Fiji	1951	295212
Fiji	1952	303594
Fiji	1953	312528
Fiji	1954	322045
Fiji	1955	332185
Fiji	1956	342987
Fiji	1957	354495
Fiji	1958	366755
Fiji	1959	379819
Fiji	1960	393348
Fiji	1961	407359
Fiji	1962	421869
Fiji	1963	436455
Fiji	1964	450647
Fiji	1965	463444
Fiji	1966	474000
Fiji	1967	485000
Fiji	1968	495000
Fiji	1969	506000
Fiji	1970	521000
Fiji	1971	533000
Fiji	1972	544000
Fiji	1973	556000
Fiji	1974	565000
Fiji	1975	576000
Fiji	1976	585000
Fiji	1977	599339
Fiji	1978	610845
Fiji	1979	622328
Fiji	1980	634506
Fiji	1981	646772
Fiji	1982	658906
Fiji	1983	671914
Fiji	1984	685572
Fiji	1985	698942
Fiji	1986	712989
Fiji	1987	719574
Fiji	1988	725994
Fiji	1989	732181
Fiji	1990	738090
Fiji	1991	743876
Fiji	1992	750242
Fiji	1993	757711
Fiji	1994	766268
Fiji	1995	775901
Fiji	1996	786603
Fiji	1997	797890
Fiji	1998	809292
Fiji	1999	820823
Fiji	2000	832494
Fiji	2001	844330
Fiji	2002	856346
Fiji	2003	868531
Fiji	2004	880874
Fiji	2005	893354
Fiji	2006	905949
Fiji	2007	918675
Fiji	2008	931545
Finland	1950	4008900
Finland	1951	4047300
Finland	1952	4090500
Finland	1953	4139400
Finland	1954	4186900
Finland	1955	4234900
Finland	1956	4281700
Finland	1957	4324000
Finland	1958	4359800
Finland	1959	4394700
Finland	1960	4429600
Finland	1961	4461004
Finland	1962	4491443
Finland	1963	4523309
Finland	1964	4548544
Finland	1965	4563732
Finland	1966	4580869
Finland	1967	4605744
Finland	1968	4626469
Finland	1969	4623785
Finland	1970	4606307
Finland	1971	4612124
Finland	1972	4639657
Finland	1973	4666081
Finland	1974	4690574
Finland	1975	4711439
Finland	1976	4725664
Finland	1977	4738902
Finland	1978	4752528
Finland	1979	4764690
Finland	1980	4779535
Finland	1981	4799964
Finland	1982	4826933
Finland	1983	4855787
Finland	1984	4881788
Finland	1985	4901783
Finland	1986	4917386
Finland	1987	4931729
Finland	1988	4946633
Finland	1989	4962441
Finland	1990	4986431
Finland	1991	5013786
Finland	1992	5041039
Finland	1993	5064846
Finland	1994	5086044
Finland	1995	5104654
Finland	1996	5120310
Finland	1997	5134406
Finland	1998	5146983
Finland	1999	5158097
Finland	2000	5168595
Finland	2001	5180309
Finland	2002	5193039
Finland	2003	5204405
Finland	2004	5214512
Finland	2005	5223442
Finland	2006	5231372
Finland	2007	5238460
Finland	2008	5244749
France	1950	41828673
France	1951	42155534
France	1952	42459667
France	1953	42751746
France	1954	43056505
France	1955	43427669
France	1956	43843075
France	1957	44310863
France	1958	44788852
France	1959	45239729
France	1960	45670000
France	1961	46189000
France	1962	47124000
France	1963	47808000
France	1964	48340000
France	1965	48763000
France	1966	49194000
France	1967	49569000
France	1968	49934000
France	1969	50353000
France	1970	50787000
France	1971	51285000
France	1972	51732000
France	1973	52157000
France	1974	52503000
France	1975	52758427
France	1976	52953613
France	1977	53165019
France	1978	53380649
France	1979	53605523
France	1980	53869743
France	1981	54147284
France	1982	54433565
France	1983	54649810
France	1984	54946500
